addr1,addr2,areacode,contentid,contenttypeid,firstimage,firstimage2,mapx,mapy,mlevel,tel,title,zipcode
전라남도 장흥군 유치면 휴양림길 154,,38,125421,12,http://tong.visitkorea.or.kr/cms/resource/01/1608001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1608001_image3_1.jpg,126.8323801,34.76804945,6,061-863-6350~1,유치자연휴양림,59301
전라남도 신안군 장산면 율도길 17-3,,38,577894,12,http://tong.visitkorea.or.kr/cms/resource/51/1111551_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1111551_image3_1.jpg,126.1957325,34.57734377,6,,율도,58861
전라남도 순천시 별량면 우산리,,38,1957459,12,,,127.4722488,34.88339178,6,,율봉서원,58030
전남 보성군 회천면 율포리 476-22,,38,2782501,12,http://tong.visitkorea.or.kr/cms/resource/48/2788348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2788348_image2_1.jpg,127.0860075,34.66900927,6,,율포항,
전라남도 보성군 회천면 우암길 21,,38,2604923,12,,,127.0866351,34.67403094,6,,율포해수녹차센터,59471
전라남도 보성군 회천면 우암길 24,,38,2022601,12,,,127.0881211,34.66968145,6,,율포해수욕장(솔밭해변),59471
전라남도 보성군 회천면 우암길 8,,38,2702653,12,,,127.0873851,34.66997585,6,,율포해수풀장,59471
전라남도 여수시 돌산읍 돌산로 1168-58,,38,348787,12,,,127.7347963,34.61973696,6,,은적사(여수),59777
전라남도 해남군 은적사길 404 은적사,,38,348786,12,,,126.6016545,34.59779531,6,,은적사(해남),59020
전라남도 완도군 청산면 읍리,,38,129543,12,http://tong.visitkorea.or.kr/cms/resource/20/214520_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/214520_image3_1.jpg,126.871666,34.17470821,6,,읍리지석묘와 하마비,59150
전라남도 곡성군 입면 송전종방길 222,(입면),38,250349,12,http://tong.visitkorea.or.kr/cms/resource/11/757511_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/757511_image3_1.jpg,127.1871878,35.31825455,6,,의마총,57509
전라남도 목포시 죽교동,산 39-1,38,126937,12,http://tong.visitkorea.or.kr/cms/resource/40/2639040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2639040_image2_1.jpg,126.3742645,34.78724806,6,,이난영의 목포의 눈물 노래비,58625
전라남도 여수시 돌산읍 돌산로 3617-18,,38,1076305,12,,,127.7369795,34.72973024,6,,이사부크루즈,59768
전라남도 여수시 웅천동,,38,2511362,12,,,127.6796952,34.74544138,6,,이순신공원(여수),59693
전라남도 여수시 중앙로 74,(중앙동),38,2612869,12,http://tong.visitkorea.or.kr/cms/resource/31/2369131_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2369131_image3_1.jpg,127.7357349,34.7399013,6,,이순신광장,59735
전라남도 여수시 묘도7길 110,(묘도동),38,2508387,12,,,127.7049476,34.88927292,6,,이순신대교,59617
전라남도 순천시 상사면 동백길 56,,38,1957463,12,,,127.4475992,34.95003942,6,,이천서원,57919
전라남도 진도군 고군면 벽파길 90,,38,127054,12,http://tong.visitkorea.or.kr/cms/resource/35/1037235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1037235_image3_1.jpg,126.3448286,34.53823947,6,,이충무공 벽파진 전첩비,58906
전라남도 진도군 군내면 진도대로 8439-19,(군내면),38,2407125,12,http://tong.visitkorea.or.kr/cms/resource/68/2405168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2405168_image3_1.jpg,126.2996762,34.57122392,6,,이충무공승전공원,58900
전라남도 여수시 웅천로 189 여수웅천부영1차,,38,126973,12,http://tong.visitkorea.or.kr/cms/resource/67/2516767_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2516767_image2_1.jpg,127.6839727,34.74008372,6,,이충무공자당기거지,59694
전라남도 목포시 유동로 63,(유달동),38,1996607,12,http://tong.visitkorea.or.kr/cms/resource/31/1996231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1996231_image3_1.jpg,126.3799529,34.78749535,6,,이훈동 정원,58729
전라남도 영광군 영광읍 영광로7길 46-79,,38,1957467,12,,,126.5230316,35.25342565,6,,이흥서원,57052
전라남도 고흥군 금산면 익금해변길 32,,38,127884,12,,,127.1464302,34.43032868,6,,익금해수욕장,59566
전라남도 나주시 예향로 3871-4,(영산동),38,2500771,12,http://tong.visitkorea.or.kr/cms/resource/91/2500791_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/2500791_image2_1.JPG,126.7130099,34.99985747,6,,일본인지주가옥,58267
전라남도 신안군 지도읍 읍내길 67-13,,38,348808,12,,,126.2081865,35.06157827,6,,일심사(신안),58813
전라남도 목포시 영산로29번길 6,,38,127334,12,http://tong.visitkorea.or.kr/cms/resource/14/1996014_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1996014_image3_1.jpg,126.3817999,34.78773702,6,,일제강점기 건축물들,58729
전라남도 화순군 사평면 상사1길 48,,38,126978,12,http://tong.visitkorea.or.kr/cms/resource/32/2720132_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2720132_image2_1.jpg,127.1196936,34.99665635,6,,임대정원림,58144
전라남도 신안군 임자면 광산리,,38,126271,12,http://tong.visitkorea.or.kr/cms/resource/72/625172_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/625172_image3_1.jpg,126.0701422,35.10342684,6,,임자 대광해수욕장,58803
전라남도 신안군 임자면 대광해수욕장길 179,,38,575658,12,,,126.0917157,35.08582641,6,,임자도,58803
전라남도 여수시 돌산읍 율림리,,38,129036,12,,,127.8005994,34.60007085,6,,임포마을,59778
전라남도 해남군 문내면 예락리,,38,2720455,12,,,126.2657116,34.61116055,6,,임하도,59003
전라남도 신안군 안좌면 자라도길 1,,38,2750934,12,,,126.1693515,34.69138052,6,,자라도선착장,58842
전라남도 여수시 자산공원길 54,(종화동),38,126316,12,,,127.7510057,34.74109866,6,,자산공원,59746
전라남도 함평군 엄다면 곤재로 688,,38,129249,12,http://tong.visitkorea.or.kr/cms/resource/04/1810104_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1810104_image3_1.jpg,126.5165939,35.00123461,6,,자산서원,57164
전라남도 구례군 용방면 용산로 107-73,,38,2599929,12,,,127.4109719,35.27695752,,,자연드림파크(구례),57607
전라남도 신안군 자은면 한운리 1-6,,38,2737315,12,http://tong.visitkorea.or.kr/cms/resource/19/2737419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2737419_image2_1.jpg,126.0893088,34.91795923,6,,자은 고교선착장,58828
전라남도 신안군 자은면 유각리,,38,126696,12,http://tong.visitkorea.or.kr/cms/resource/26/2654826_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2654826_image3_1.jpg,126.0396037,34.85003276,6,,자은 백길해수욕장,58830
전라남도 신안군 자은면 자은서부2길 669,,38,127757,12,http://tong.visitkorea.or.kr/cms/resource/11/1246211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/1246211_image3_1.jpg,125.981014,34.87087669,6,,자은 분계해수욕장,58831
전라남도 신안군 자은면 구영1길 8,,38,577866,12,,,126.0474244,34.88443456,6,,자은도,58829
전라남도 여수시 고소1길 58,(중앙동),38,126967,12,,,127.7356573,34.73321594,6,,장군도(수중성),59737
전라남도 진도군 지산면 가학장도길 1,,38,578501,12,,,126.1002409,34.4563225,6,,장도,58952
전라남도 보성군 벌교읍 장도리,,38,2496312,12,http://tong.visitkorea.or.kr/cms/resource/36/2497036_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2497036_image2_1.jpg,127.4552692,34.79174899,6,,장도,59421
전라남도 여수시 화양면 장수리,,38,126281,12,,,127.6095927,34.64520695,6,,장등해변,59780
전라남도 목포시 장미로 40,(상동),38,2795516,12,http://tong.visitkorea.or.kr/cms/resource/72/2798772_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2798772_image2_1.JPG,126.4257707,34.8022611,6,,장미의거리,58691
전라남도 완도군 완도읍 청해진로 1565-2,,38,1295911,12,http://tong.visitkorea.or.kr/cms/resource/17/1954917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1954917_image3_1.jpg,126.7323547,34.34347318,6,,장보고 동상,59108
전라남도 완도군 완도읍 청해진로 1380-138,,38,128705,12,http://tong.visitkorea.or.kr/cms/resource/45/573045_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/573045_image3_1.jpg,126.7302019,34.35287209,6,,장보고공원,59104
전라남도 완도군 고금면,,38,2703777,12,,,126.7779755,34.35324506,6,,장보고대교,59129
전라남도 신안군 장산면 장산중앙길 2,,38,127763,12,,,126.14901,34.64318561,6,,장산도,58860
전라남도 장성군 북하면 약수리,(가인마을),38,127033,12,http://tong.visitkorea.or.kr/cms/resource/08/2515508_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2515508_image2_1.jpg,126.8780122,35.4348083,6,,장성 가인마을 한봉단지,57205
전라남도 장성군 북하면 신성리 산 20,,38,127204,12,,,126.8251297,35.4766471,6,,장성 입암산성,57204
전라남도 장성군 북이면 백양로 26,,38,800812,12,http://tong.visitkorea.or.kr/cms/resource/74/2516774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2516774_image2_1.jpg,126.8087324,35.42876892,6,,장성 자라뫼마을 [농촌전통테마],57201
전라남도 장성군 물뫼길 25 동학농민혁명 황룡전적비,,38,250289,12,http://tong.visitkorea.or.kr/cms/resource/96/2516796_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2516796_image2_1.jpg,126.7554627,35.29509983,6,,장성 황룡 전적,57225
전라남도 장성군 북이면 원덕리,,38,231904,12,,,126.8105177,35.45356614,6,,장성원덕리미륵석불,57201
전라남도 장성군 장성읍 성산2길 102,,38,1624473,12,,,126.8142151,35.32420308,6,,장성향교,57214
전라남도 장성군 장성읍 봉덕리,,38,2633951,12,http://tong.visitkorea.or.kr/cms/resource/55/2638555_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2638555_image2_1.jpg,126.8230688,35.36606516,6,,장성호 출렁다리(장성호 수변길),57209
전라남도 장성군 백양로 591-8 장성북상면수몰문화관,,38,127719,12,http://tong.visitkorea.or.kr/cms/resource/01/2516801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2516801_image2_1.jpg,126.8510679,35.41405741,6,,장성호관광지,57204
전라남도 장성군 장성읍 신흥로 138,,38,2778474,12,http://tong.visitkorea.or.kr/cms/resource/42/2800642_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/2800642_image2_1.JPG,126.8171085,35.3562245,6,,장성호수변공원,57209
전라남도 장흥군 유치면 반월리,,38,596705,12,,,126.8131918,34.81154702,6,,장수풍뎅이마을,59301
전라남도 영암군 영암읍 무덕정길 63,,38,1624477,12,,,128.739243,36.98245703,6,,장암정,58422
전라남도 완도군 완도읍 청해진로1369번길,,38,129042,12,,,126.7302656,34.358702,6,,장좌마을,59104
전라남도 여수시 삼산면 서도리,,38,129104,12,,,127.2952347,34.05434808,6,,장촌마을,59790
전라남도 장흥군 관산읍 장흥대로 1674,,38,705080,12,http://tong.visitkorea.or.kr/cms/resource/23/2516023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2516023_image2_1.jpg,126.9432978,34.55389201,6,,장흥 방촌리 석장승,59354
전라남도 장흥군 관산읍 방촌리,,38,705071,12,http://tong.visitkorea.or.kr/cms/resource/23/693323_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/693323_image3_1.jpg,126.9442311,34.55148396,6,061-860-0224,장흥 방촌리 지석묘군,59354
전라남도 장흥군 장흥읍 진흥로 891,,38,1390155,12,http://tong.visitkorea.or.kr/cms/resource/20/1374120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/1374120_image3_1.jpg,126.8727821,34.6530436,6,,장흥 사인정,59335
전라남도 장흥군 관산읍 산서1길 13,부근,38,1391032,12,http://tong.visitkorea.or.kr/cms/resource/58/2729858_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2729858_image2_1.jpg,126.9566807,34.52322344,6,,장흥 삼산리 후박나무,59357
전남 장흥군 장흥읍 평화리,,38,129366,12,,,126.9149782,34.66300985,6,,장흥 상선약수마을,"529-805,5"
전라남도 장흥군 용산면,어산리 289-2,38,705115,12,http://tong.visitkorea.or.kr/cms/resource/31/1374231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1374231_image3_1.jpg,126.9059633,34.62162823,6,,장흥 어산리 푸조나무,59345
전라남도 장흥군 관산읍 방촌1길 44,,38,1390248,12,http://tong.visitkorea.or.kr/cms/resource/83/1374283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1374283_image3_1.jpg,126.9397316,34.54894805,6,,장흥 오헌고택 (구 위성탁 가옥),59354
전라남도 장흥군 관산읍 효자송길 124,,38,705019,12,http://tong.visitkorea.or.kr/cms/resource/42/693142_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/693142_image3_1.jpg,126.9337986,34.55369187,6,,장흥 옥당리 효자송,59350
전라남도 장흥군 관산읍 방촌길 101,,38,1390215,12,http://tong.visitkorea.or.kr/cms/resource/56/1374256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1374256_image3_1.jpg,126.9498529,34.54882879,6,,장흥 위성룡가옥,59354
전라남도 장흥군 안양면 수문용곡로 107,,38,705302,12,http://tong.visitkorea.or.kr/cms/resource/85/2516685_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2516685_image2_1.jpg,127.028669,34.63124865,6,,장흥 키조개마을,59339
전라남도 장흥군 회진면 회진리,,38,705154,12,http://tong.visitkorea.or.kr/cms/resource/59/2516759_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2516759_image2_1.jpg,126.9389332,34.48465524,6,,장흥 회령진성,59360
전라남도 장흥군 유치면 지천길 52-227,,38,2469450,12,,,126.8839426,34.75340474,6,,장흥다목적댐 물 문화관,59310
전라남도 장흥군 장흥읍 교촌남외길 33,,38,1391098,12,http://tong.visitkorea.or.kr/cms/resource/08/1374408_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1374408_image3_1.jpg,126.8936103,34.67439988,6,,장흥향교,59333
전라남도 고흥군 대서면 동서로 243-51,(대서면),38,1957471,12,,,127.3041995,34.77651479,6,,재동서원,59507
전라남도 여수시 화정면,,38,2657139,12,,,127.5230593,34.6203388,6,,적금대교(여수),59781
전라남도 고흥군 금산면,일대,38,126890,12,,,127.1838565,34.47323006,6,환경산림과 061-830-5422,적대봉,59564
전라남도 화순군 이서면 적벽로 630,,38,2614897,12,http://tong.visitkorea.or.kr/cms/resource/92/2614892_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/92/2614892_image2_1.bmp,127.0874076,35.10394926,6,,적벽 (무등산권 국가지질공원),58103
전남 완도군 보길면 부용리,,38,127207,12,,,126.5378044,34.13747635,6,,적자봉(격자봉),"537-852,2"
전라남도 순천시 해룡로 579 참좋은시골집,,38,2819644,12,http://tong.visitkorea.or.kr/cms/resource/39/2819639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2819639_image2_1.jpg,127.5280636,34.87283281,6,,적정온도(순향가),58025
전라남도 강진군 성전면 백운로 93-25,,38,128151,12,http://tong.visitkorea.or.kr/cms/resource/79/2648779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2648779_image3_1.jpg,126.7061613,34.74090318,6,,전남 강진다원,59200
전라남도 담양군 창평면 돌담길 56-24,,38,593382,12,http://tong.visitkorea.or.kr/cms/resource/75/2025875_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2025875_image3_1.jpg,127.0179188,35.23528048,6,,전남 담양 창평면 [슬로시티],57389
전라남도 완도군 청산면 청산로 541,(청산면),38,1933664,12,,,126.8952888,34.18079681,6,,전남 완도 청산도 [슬로시티],59150
전라남도 보성군 웅치면 대산길 329-126,,38,2660917,12,,,126.9912152,34.69181067,6,,전남권 환경성질환 예방관리센터,59450
전라남도 나주시 산포면 다도로 7,,38,2768883,12,,,126.8256637,35.00652249,6,,전라남도 산림자원연구소,58213
전라남도 완도군 완도읍 대야일구1길 115,,38,2795081,12,http://tong.visitkorea.or.kr/cms/resource/70/2797870_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2797870_image2_1.JPG,126.7024238,34.35270499,6,,전라남도완도자연휴양림,59104
전라남도 진도군 의신면 황모길 81,,38,580086,12,http://tong.visitkorea.or.kr/cms/resource/06/1579506_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1579506_image3_1.jpg,126.3006027,34.38800838,6,,접도,58939
전라남도 장흥군 관산읍 정남진해안로 242-58,,38,2514004,12,http://tong.visitkorea.or.kr/cms/resource/43/2516743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2516743_image2_1.jpg,126.9746516,34.51172503,6,,정남진 전망대,59357
전라남도 장흥군 장흥읍 우드랜드길 180,(장흥읍),38,2033464,12,http://tong.visitkorea.or.kr/cms/resource/30/2546930_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2546930_image3_1.jpg,126.9340042,34.66835124,6,,정남진 편백숲 우드랜드,59337
전라남도 장흥군 관산읍,,38,777228,12,http://tong.visitkorea.or.kr/cms/resource/53/694353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/694353_image3_1.jpg,126.9734175,34.54728769,6,,정남진(장흥),59356
전라남도 완도군 완도읍 중도리,976,38,2795092,12,http://tong.visitkorea.or.kr/cms/resource/85/2797885_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2797885_image2_1.JPG,126.7105133,34.29843341,6,,정도리해변,59110
전남 완도군 완도읍 정도리,,38,129106,12,http://tong.visitkorea.or.kr/cms/resource/89/1970989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1970989_image3_1.jpg,126.7024277,34.3047048,6,,정도마을,"537-806,4"
전라남도 담양군 남면 가사문학로 859,,38,231893,12,http://tong.visitkorea.or.kr/cms/resource/62/1784362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1784362_image3_1.jpg,127.0024435,35.1884244,6,,정송강 유적(식영정·송강정),57392
전라남도 나주시 금계동 13-18,,38,129579,12,,,126.7160839,35.03193446,6,,정수루,58257
전라남도 강진군 대구면 정수사길 403,(대구면),38,252548,12,,,126.8445515,34.53161508,6,,정수사(강진),59264
전라남도 장흥군 관산읍 당동길 6-25,,38,1390312,12,http://tong.visitkorea.or.kr/cms/resource/64/1374464_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1374464_image3_1.jpg,126.9309656,34.55380014,6,,정안사(장흥),59350
전라남도 나주시 정렬사길 43,(대호동),38,127210,12,,,126.7115867,35.04559118,6,,정열사비,58246
전라남도 보성군 회천면 영천길 9,,38,129668,12,http://tong.visitkorea.or.kr/cms/resource/56/219656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/219656_image3_1.jpg,127.0694392,34.67910508,6,,정응민예적지(판소리공원),59472
전라남도 순천시 서면 정혜사길 32,(서면),38,479906,12,http://tong.visitkorea.or.kr/cms/resource/24/2551124_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/24/2551124_image2_1.bmp,127.5143127,35.06201964,6,,정혜사(순천),57904
전라남도 보성군 회천면 일림산길 317-94,,38,2613169,12,,,127.0555931,34.68539858,6,,제2대한다원,59473
전라남도 장흥군 장흥읍 금산신기길 131,,38,1246089,12,,,126.9581846,34.69908153,6,,제암산,59314
전라남도 보성군 웅치면 대산길 330,(웅치면),38,125425,12,,,126.983899,34.69852091,6,,제암산자연휴양림,59450
전라남도 곡성군 입면 제월리 1115,,38,2718057,12,,,127.2180851,35.31775236,6,,제월섬,57511
전라남도 순천시 승주읍 승주괴목1길,,38,126240,12,http://tong.visitkorea.or.kr/cms/resource/94/1970994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1970994_image2_1.jpg,127.2687691,35.00428025,6,,조계산도립공원,57909
전라남도 무안군 망운면 조금나루길 297,,38,2778169,12,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,126.3348741,34.99484622,6,,조금나루해변,58535
전라남도 무안군 망운면 송현리 1070-3,,38,126616,12,http://tong.visitkorea.or.kr/cms/resource/49/194649_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/194649_image3_1.jpg,126.3363628,34.99604611,6,,조금나루해수욕장,58535
전라남도 진도군 조도면,,38,553447,12,http://tong.visitkorea.or.kr/cms/resource/76/195876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/195876_image3_1.jpg,126.0569887,34.4791859,6,,조도(조도6군도),58953
전라남도 순천시 조례동 1867,,38,2737298,12,http://tong.visitkorea.or.kr/cms/resource/57/2737557_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/57/2737557_image2_1.JPG,127.522034,34.96608334,6,,조례호수공원,
